Termid,Regd No,Course,Grade,CA_100,MTT_50,ETT_100,ETP_100,Course_Att,MHRDName,CA_1,CA_2,CA_3,CA_4,Height,Weight,ScholarType,Direction,Gender,Medium,CourseType,ProgramType
218192,1320776,KHZ54,A,80,37,78,,93,Bachelor of Technology in Computer Science and Engineering (Cyber Security),76,0,0,4,151,51,Day Scholar,North,Male,Hindi,Theory,UG
218192,1320776,KHZ55,A,88,,,71,100,Bachelor of Technology in Computer Science and Engineering (Cyber Security),13,17,42,16,151,51,Day Scholar,North,Male,Hindi,Theory,UG
218192,1320776,KHZ56,A,84,23,56,,92,Bachelor of Technology in Computer Science and Engineering (Cyber Security),47,33,0,4,151,51,Day Scholar,North,Male,Hindi,Theory,UG
218192,1320776,KHZ57,A+,90,47,72,,100,Bachelor of Technology in Computer Science and Engineering (Cyber Security),16,16,36,22,151,51,Day Scholar,North,Male,Hindi,Theory,UG
218192,1320776,KHZ58,O,89,44,70,,91,Bachelor of Technology in Computer Science and Engineering (Cyber Security),42,15,11,21,151,51,Day Scholar,North,Male,Hindi,Theory,UG
218192,1502776,KHZ28,A,73,37,74,,95,Bachelor of Technology in Computer Science and Engineering (Cyber Security),30,13,14,16,170,59,Hostler,North,Female,Regional,Theory,UG
218192,1502776,KHZ391,O,98,,,91,91,Bachelor of Technology in Computer Science and Engineering (Cyber Security),50,6,36,6,170,59,Hostler,North,Female,Regional,Theory,UG
218192,1502776,KHZ51,A+,90,34,85,,84,Bachelor of Technology in Computer Science and Engineering (Cyber Security),5,66,3,16,170,59,Hostler,North,Female,Regional,Theory,UG
218192,1502776,KHZ52,A+,87,,,90,93,Bachelor of Technology in Computer Science and Engineering (Cyber Security),56,25,1,5,170,59,Hostler,North,Female,Regional,Theory,UG
218192,1502776,KHZ53,A,95,37,58,,91,Bachelor of Technology in Computer Science and Engineering (Cyber Security),83,5,0,7,170,59,Hostler,North,Female,Regional,Theory,UG
218192,1502776,KHZ54,A,87,37,70,,93,Bachelor of Technology in Computer Science and Engineering (Cyber Security),26,58,3,0,170,59,Hostler,North,Female,Regional,Theory,UG
218192,1502776,KHZ55,A+,90,,,76,93,Bachelor of Technology in Computer Science and Engineering (Cyber Security),73,3,7,7,170,59,Hostler,North,Female,Regional,Theory,UG
218192,1502776,KHZ56,A,92,29,58,,93,Bachelor of Technology in Computer Science and Engineering (Cyber Security),18,11,5,58,170,59,Hostler,North,Female,Regional,Theory,UG
218192,1502776,KHZ57,A+,99,33,79,,95,Bachelor of Technology in Computer Science and Engineering (Cyber Security),99,0,0,0,170,59,Hostler,North,Female,Regional,Theory,UG
218192,1502776,KHZ58,A+,62,35,78,,91,Bachelor of Technology in Computer Science and Engineering (Cyber Security),22,23,5,12,170,59,Hostler,North,Female,Regional,Theory,UG
218192,1570776,KHZ28,B,58,30,62,,74,Bachelor of Technology in Computer Science and Engineering (Cyber Security),55,1,2,0,179,89,Day Scholar,North,Female,English,Theory,UG
218192,1570776,KHZ51,B,50,17,65,,73,Bachelor of Technology in Computer Science and Engineering (Cyber Security),15,6,11,18,179,89,Day Scholar,North,Female,English,Theory,UG
218192,1570776,KHZ52,B+,82,,,65,91,Bachelor of Technology in Computer Science and Engineering (Cyber Security),80,0,2,0,179,89,Day Scholar,North,Female,English,Theory,UG
218192,1570776,KHZ53,A,80,29,70,,75,Bachelor of Technology in Computer Science and Engineering (Cyber Security),25,30,20,5,179,89,Day Scholar,North,Female,English,Theory,UG
218192,1570776,KHZ54,B+,74,27,76,,60,Bachelor of Technology in Computer Science and Engineering (Cyber Security),26,9,17,22,179,89,Day Scholar,North,Female,English,Theory,UG
218192,1570776,KHZ55,A,70,,,90,91,Bachelor of Technology in Computer Science and Engineering (Cyber Security),55,11,2,2,179,89,Day Scholar,North,Female,English,Theory,UG
218192,1570776,KHZ56,B+,87,17,53,,70,Bachelor of Technology in Computer Science and Engineering (Cyber Security),30,22,29,6,179,89,Day Scholar,North,Female,English,Theory,UG
218192,1570776,KHZ57,A,82,24,68,,78,Bachelor of Technology in Computer Science and Engineering (Cyber Security),68,6,6,2,179,89,Day Scholar,North,Female,English,Theory,UG
218192,1570776,KHZ58,A,50,33,78,,74,Bachelor of Technology in Computer Science and Engineering (Cyber Security),3,21,4,22,179,89,Day Scholar,North,Female,English,Theory,UG
218192,1601776,KHZ28,A,74,38,70,,78,Bachelor of Technology in Computer Science and Engineering (Cyber Security),65,3,0,6,150,54,Hostler,South,Female,Regional,Theory,UG
218192,1601776,KHZ51,B,59,35,48,,87,Bachelor of Technology in Computer Science and Engineering (Cyber Security),25,4,2,28,150,54,Hostler,South,Female,Regional,Theory,UG
218192,1601776,KHZ52,A,89,,,71,80,Bachelor of Technology in Computer Science and Engineering (Cyber Security),70,19,0,0,150,54,Hostler,South,Female,Regional,Theory,UG
218192,1601776,KHZ53,C,71,24,32,,80,Bachelor of Technology in Computer Science and Engineering (Cyber Security),30,9,23,9,150,54,Hostler,South,Female,Regional,Theory,UG
218192,1601776,KHZ54,B,42,32,60,,85,Bachelor of Technology in Computer Science and Engineering (Cyber Security),7,33,0,2,150,54,Hostler,South,Female,Regional,Theory,UG
218192,1601776,KHZ55,B+,59,,,85,80,Bachelor of Technology in Computer Science and Engineering (Cyber Security),11,1,17,30,150,54,Hostler,South,Female,Regional,Theory,UG
218192,1601776,KHZ56,B+,67,25,55,,75,Bachelor of Technology in Computer Science and Engineering (Cyber Security),23,3,31,10,150,54,Hostler,South,Female,Regional,Theory,UG
218192,1601776,KHZ57,B+,64,33,60,,87,Bachelor of Technology in Computer Science and Engineering (Cyber Security),41,14,7,2,150,54,Hostler,South,Female,Regional,Theory,UG
218192,1601776,KHZ58,B+,70,29,53,,82,Bachelor of Technology in Computer Science and Engineering (Cyber Security),17,35,2,16,150,54,Hostler,South,Female,Regional,Theory,UG
218192,1602776,KHZ28,B+,44,25,58,,96,Bachelor of Technology in Computer Science and Engineering (Cyber Security),6,3,24,11,180,69,Day Scholar,West,Male,Regional,Theory,UG
218192,1602776,KHZ51,B,57,22,56,,88,Bachelor of Technology in Computer Science and Engineering (Cyber Security),20,20,17,0,180,69,Day Scholar,West,Male,Regional,Theory,UG
218192,1602776,KHZ52,B+,69,,,70,89,Bachelor of Technology in Computer Science and Engineering (Cyber Security),68,0,0,1,180,69,Day Scholar,West,Male,Regional,Theory,UG
218192,1602776,KHZ53,B,56,23,50,,93,Bachelor of Technology in Computer Science and Engineering (Cyber Security),10,0,1,45,180,69,Day Scholar,West,Male,Regional,Theory,UG
218192,1602776,KHZ54,C,44,9,50,,89,Bachelor of Technology in Computer Science and Engineering (Cyber Security),2,30,5,7,180,69,Day Scholar,West,Male,Regional,Theory,UG
218192,1602776,KHZ55,B+,66,,,63,93,Bachelor of Technology in Computer Science and Engineering (Cyber Security),64,1,1,0,180,69,Day Scholar,West,Male,Regional,Theory,UG
218192,1602776,KHZ56,E,34,19,20,,92,Bachelor of Technology in Computer Science and Engineering (Cyber Security),10,1,14,9,180,69,Day Scholar,West,Male,Regional,Theory,UG
218192,1602776,KHZ57,A,72,27,68,,93,Bachelor of Technology in Computer Science and Engineering (Cyber Security),8,60,3,1,180,69,Day Scholar,West,Male,Regional,Theory,UG
218192,1602776,KHZ58,C,24,28,48,,88,Bachelor of Technology in Computer Science and Engineering (Cyber Security),0,14,2,8,180,69,Day Scholar,West,Male,Regional,Theory,UG
218192,1624776,KHZ28,A+,66,40,79,,90,Bachelor of Technology in Computer Science and Engineering (Cyber Security),35,20,6,5,162,63,Day Scholar,North,Male,Regional,Theory,UG
218192,1624776,KHZ51,B+,39,44,68,,90,Bachelor of Technology in Computer Science and Engineering (Cyber Security),34,4,0,1,162,63,Day Scholar,North,Male,Regional,Theory,UG
218192,1624776,KHZ52,A+,91,,,76,90,Bachelor of Technology in Computer Science and Engineering (Cyber Security),51,38,1,1,162,63,Day Scholar,North,Male,Regional,Theory,UG
218192,1624776,KHZ53,B+,60,34,56,,86,Bachelor of Technology in Computer Science and Engineering (Cyber Security),54,1,2,3,162,63,Day Scholar,North,Male,Regional,Theory,UG
218192,1624776,KHZ54,A,57,37,80,,80,Bachelor of Technology in Computer Science and Engineering (Cyber Security),34,10,8,5,162,63,Day Scholar,North,Male,Regional,Theory,UG
218192,1624776,KHZ55,A+,79,,,95,93,Bachelor of Technology in Computer Science and Engineering (Cyber Security),78,0,1,0,162,63,Day Scholar,North,Male,Regional,Theory,UG
218192,1624776,KHZ56,B+,84,29,49,,80,Bachelor of Technology in Computer Science and Engineering (Cyber Security),52,13,4,15,162,63,Day Scholar,North,Male,Regional,Theory,UG
218192,1624776,KHZ57,A+,75,47,78,,86,Bachelor of Technology in Computer Science and Engineering (Cyber Security),64,5,2,4,162,63,Day Scholar,North,Male,Regional,Theory,UG
218192,1624776,KHZ58,C,49,43,32,,78,Bachelor of Technology in Computer Science and Engineering (Cyber Security),44,3,0,2,162,63,Day Scholar,North,Male,Regional,Theory,UG
218192,1764776,KHZ28,B,33,25,64,,93,Bachelor of Technology in Computer Science and Engineering (Cyber Security),20,7,2,4,178,77,Day Scholar,East,Female,English,Theory,UG
218192,1764776,KHZ391,A+,89,,,82,90,Bachelor of Technology in Computer Science and Engineering (Cyber Security),77,12,0,0,178,77,Day Scholar,East,Female,English,Theory,UG
218192,1764776,KHZ51,B+,49,28,73,,91,Bachelor of Technology in Computer Science and Engineering (Cyber Security),10,36,0,3,178,77,Day Scholar,East,Female,English,Theory,UG
218192,1764776,KHZ52,B+,76,,,54,93,Bachelor of Technology in Computer Science and Engineering (Cyber Security),45,6,8,17,178,77,Day Scholar,East,Female,English,Theory,UG
218192,1764776,KHZ53,B,73,15,48,,92,Bachelor of Technology in Computer Science and Engineering (Cyber Security),37,7,8,21,178,77,Day Scholar,East,Female,English,Theory,UG
218192,1764776,KHZ54,B+,63,25,68,,85,Bachelor of Technology in Computer Science and Engineering (Cyber Security),9,24,22,8,178,77,Day Scholar,East,Female,English,Theory,UG
218192,1764776,KHZ55,C,64,,,41,93,Bachelor of Technology in Computer Science and Engineering (Cyber Security),9,21,7,27,178,77,Day Scholar,East,Female,English,Theory,UG
218192,1764776,KHZ56,B,52,29,43,,93,Bachelor of Technology in Computer Science and Engineering (Cyber Security),18,17,8,9,178,77,Day Scholar,East,Female,English,Theory,UG
218192,1764776,KHZ57,A,65,23,78,,81,Bachelor of Technology in Computer Science and Engineering (Cyber Security),51,6,1,7,178,77,Day Scholar,East,Female,English,Theory,UG
218192,1764776,KHZ58,B,44,30,49,,90,Bachelor of Technology in Computer Science and Engineering (Cyber Security),7,29,6,2,178,77,Day Scholar,East,Female,English,Theory,UG
218192,1772776,KHZ28,B+,65,22,53,,95,Bachelor of Technology in Computer Science and Engineering (Cyber Security),8,33,7,17,174,62,Hostler,South,Female,English,Theory,UG
218192,1772776,KHZ51,B,47,30,59,,95,Bachelor of Technology in Computer Science and Engineering (Cyber Security),4,32,3,8,174,62,Hostler,South,Female,English,Theory,UG
218192,1772776,KHZ52,B+,78,,,63,92,Bachelor of Technology in Computer Science and Engineering (Cyber Security),28,8,39,3,174,62,Hostler,South,Female,English,Theory,UG
218192,1772776,KHZ53,B+,97,28,45,,96,Bachelor of Technology in Computer Science and Engineering (Cyber Security),16,80,0,1,174,62,Hostler,South,Female,English,Theory,UG
218192,1772776,KHZ54,B,65,22,56,,98,Bachelor of Technology in Computer Science and Engineering (Cyber Security),4,7,37,17,174,62,Hostler,South,Female,English,Theory,UG
218192,1772776,KHZ55,A,100,,,61,88,Bachelor of Technology in Computer Science and Engineering (Cyber Security),89,5,6,0,174,62,Hostler,South,Female,English,Theory,UG
218192,1772776,KHZ56,C,57,12,40,,96,Bachelor of Technology in Computer Science and Engineering (Cyber Security),1,5,7,44,174,62,Hostler,South,Female,English,Theory,UG
218192,1772776,KHZ57,A,55,40,76,,87,Bachelor of Technology in Computer Science and Engineering (Cyber Security),24,6,4,21,174,62,Hostler,South,Female,English,Theory,UG
218192,1772776,KHZ58,D,59,23,23,,92,Bachelor of Technology in Computer Science and Engineering (Cyber Security),32,13,3,11,174,62,Hostler,South,Female,English,Theory,UG
218192,1831776,KHZ28,B+,61,26,65,,93,Bachelor of Technology in Computer Science and Engineering (Cyber Security),57,3,0,1,160,91,Day Scholar,North,Female,Hindi,Theory,UG
218192,1831776,KHZ51,C,35,20,43,,85,Bachelor of Technology in Computer Science and Engineering (Cyber Security),13,0,6,16,160,91,Day Scholar,North,Female,Hindi,Theory,UG
218192,1831776,KHZ52,B+,82,,,58,69,Bachelor of Technology in Computer Science and Engineering (Cyber Security),3,56,21,2,160,91,Day Scholar,North,Female,Hindi,Theory,UG
218192,1831776,KHZ53,C,49,17,49,,90,Bachelor of Technology in Computer Science and Engineering (Cyber Security),46,3,0,0,160,91,Day Scholar,North,Female,Hindi,Theory,UG
218192,1831776,KHZ54,D,54,14,36,,38,Bachelor of Technology in Computer Science and Engineering (Cyber Security),2,9,39,4,160,91,Day Scholar,North,Female,Hindi,Theory,UG
218192,1831776,KHZ55,C,40,,,60,78,Bachelor of Technology in Computer Science and Engineering (Cyber Security),4,15,1,20,160,91,Day Scholar,North,Female,Hindi,Theory,UG
218192,1831776,KHZ56,B+,70,32,50,,83,Bachelor of Technology in Computer Science and Engineering (Cyber Security),15,5,19,31,160,91,Day Scholar,North,Female,Hindi,Theory,UG
218192,1831776,KHZ57,C,52,27,46,,76,Bachelor of Technology in Computer Science and Engineering (Cyber Security),41,11,0,0,160,91,Day Scholar,North,Female,Hindi,Theory,UG
218192,1831776,KHZ58,B+,45,39,49,,83,Bachelor of Technology in Computer Science and Engineering (Cyber Security),41,4,0,0,160,91,Day Scholar,North,Female,Hindi,Theory,UG
218192,1985776,KHZ28,A,70,36,63,,90,Bachelor of Technology in Computer Science and Engineering (Cyber Security),51,9,4,6,156,79,Hostler,North,Male,Hindi,Theory,UG
218192,1985776,KHZ51,B+,64,28,62,,95,Bachelor of Technology in Computer Science and Engineering (Cyber Security),64,0,0,0,156,79,Hostler,North,Male,Hindi,Theory,UG
218192,1985776,KHZ52,A,74,,,85,96,Bachelor of Technology in Computer Science and Engineering (Cyber Security),18,27,18,11,156,79,Hostler,North,Male,Hindi,Theory,UG
218192,1985776,KHZ53,B,65,29,52,,81,Bachelor of Technology in Computer Science and Engineering (Cyber Security),22,1,27,15,156,79,Hostler,North,Male,Hindi,Theory,UG
218192,1985776,KHZ54,B+,77,25,68,,88,Bachelor of Technology in Computer Science and Engineering (Cyber Security),21,22,29,5,156,79,Hostler,North,Male,Hindi,Theory,UG
218192,1985776,KHZ55,B+,80,,,68,93,Bachelor of Technology in Computer Science and Engineering (Cyber Security),29,51,0,0,156,79,Hostler,North,Male,Hindi,Theory,UG
218192,1985776,KHZ56,B+,69,27,49,,90,Bachelor of Technology in Computer Science and Engineering (Cyber Security),2,1,34,32,156,79,Hostler,North,Male,Hindi,Theory,UG
218192,1985776,KHZ57,A,85,35,53,,86,Bachelor of Technology in Computer Science and Engineering (Cyber Security),21,44,9,11,156,79,Hostler,North,Male,Hindi,Theory,UG
218192,1985776,KHZ58,A,79,24,60,,93,Bachelor of Technology in Computer Science and Engineering (Cyber Security),18,27,32,2,156,79,Hostler,North,Male,Hindi,Theory,UG
218192,2059776,KHZ28,B+,64,22,56,,93,Bachelor of Technology in Computer Science and Engineering (Cyber Security),34,24,3,3,174,59,Day Scholar,South,Male,Regional,Theory,UG
218192,2059776,KHZ51,A,89,25,66,,93,Bachelor of Technology in Computer Science and Engineering (Cyber Security),26,24,31,8,174,59,Day Scholar,South,Male,Regional,Theory,UG
218192,2059776,KHZ52,A+,95,,,77,92,Bachelor of Technology in Computer Science and Engineering (Cyber Security),79,13,3,0,174,59,Day Scholar,South,Male,Regional,Theory,UG
218192,2059776,KHZ53,B+,68,28,55,,92,Bachelor of Technology in Computer Science and Engineering (Cyber Security),6,1,56,5,174,59,Day Scholar,South,Male,Regional,Theory,UG
218192,2059776,KHZ54,B,50,32,58,,90,Bachelor of Technology in Computer Science and Engineering (Cyber Security),7,41,0,2,174,59,Day Scholar,South,Male,Regional,Theory,UG
218192,2059776,KHZ55,A,70,,,90,96,Bachelor of Technology in Computer Science and Engineering (Cyber Security),18,12,15,25,174,59,Day Scholar,South,Male,Regional,Theory,UG
218192,2059776,KHZ56,B+,75,25,50,,93,Bachelor of Technology in Computer Science and Engineering (Cyber Security),23,2,31,19,174,59,Day Scholar,South,Male,Regional,Theory,UG
218192,2059776,KHZ57,A,97,27,63,,93,Bachelor of Technology in Computer Science and Engineering (Cyber Security),1,36,9,51,174,59,Day Scholar,South,Male,Regional,Theory,UG
218192,2059776,KHZ58,A,77,40,59,,87,Bachelor of Technology in Computer Science and Engineering (Cyber Security),65,8,2,2,174,59,Day Scholar,South,Male,Regional,Theory,UG
218192,2130776,KHZ28,B,44,23,68,,79,Bachelor of Technology in Computer Science and Engineering (Cyber Security),24,11,4,5,165,59,Day Scholar,North,Female,English,Theory,UG
218192,2130776,KHZ51,C,32,29,32,,93,Bachelor of Technology in Computer Science and Engineering (Cyber Security),9,22,1,0,165,59,Day Scholar,North,Female,English,Theory,UG
218192,2130776,KHZ52,A,81,,,78,89,Bachelor of Technology in Computer Science and Engineering (Cyber Security),31,43,7,0,165,59,Day Scholar,North,Female,English,Theory,UG
218192,2130776,KHZ53,C,35,17,42,,90,Bachelor of Technology in Computer Science and Engineering (Cyber Security),1,29,3,2,165,59,Day Scholar,North,Female,English,Theory,UG
218192,2130776,KHZ54,C,50,24,39,,77,Bachelor of Technology in Computer Science and Engineering (Cyber Security),15,19,12,4,165,59,Day Scholar,North,Female,English,Theory,UG
218192,2130776,KHZ55,B+,80,,,66,87,Bachelor of Technology in Computer Science and Engineering (Cyber Security),49,31,0,0,165,59,Day Scholar,North,Female,English,Theory,UG
218192,2130776,KHZ56,E,75,9,29,,88,Bachelor of Technology in Computer Science and Engineering (Cyber Security),29,9,37,0,165,59,Day Scholar,North,Female,English,Theory,UG
218192,2130776,KHZ57,D,34,10,46,,77,Bachelor of Technology in Computer Science and Engineering (Cyber Security),22,0,1,11,165,59,Day Scholar,North,Female,English,Theory,UG
218192,2130776,KHZ58,D,35,23,40,,78,Bachelor of Technology in Computer Science and Engineering (Cyber Security),33,2,0,0,165,59,Day Scholar,North,Female,English,Theory,UG
218192,2167776,KHZ28,A+,68,42,74,,92,Bachelor of Technology in Computer Science and Engineering (Cyber Security),3,55,0,10,162,64,Hostler,North,Female,Regional,Theory,UG
218192,2167776,KHZ51,A,80,38,73,,98,Bachelor of Technology in Computer Science and Engineering (Cyber Security),12,23,7,38,162,64,Hostler,North,Female,Regional,Theory,UG
218192,2167776,KHZ52,A,97,,,68,93,Bachelor of Technology in Computer Science and Engineering (Cyber Security),29,6,9,53,162,64,Hostler,North,Female,Regional,Theory,UG
218192,2167776,KHZ53,B+,60,32,68,,90,Bachelor of Technology in Computer Science and Engineering (Cyber Security),15,8,1,36,162,64,Hostler,North,Female,Regional,Theory,UG
218192,2167776,KHZ54,A,74,29,75,,91,Bachelor of Technology in Computer Science and Engineering (Cyber Security),19,9,23,23,162,64,Hostler,North,Female,Regional,Theory,UG
218192,2167776,KHZ55,A+,92,,,73,97,Bachelor of Technology in Computer Science and Engineering (Cyber Security),41,1,46,4,162,64,Hostler,North,Female,Regional,Theory,UG
218192,2167776,KHZ56,A,90,15,69,,93,Bachelor of Technology in Computer Science and Engineering (Cyber Security),3,65,13,9,162,64,Hostler,North,Female,Regional,Theory,UG
218192,2167776,KHZ57,A+,87,33,76,,97,Bachelor of Technology in Computer Science and Engineering (Cyber Security),75,3,3,6,162,64,Hostler,North,Female,Regional,Theory,UG
218192,2167776,KHZ58,A+,80,40,76,,90,Bachelor of Technology in Computer Science and Engineering (Cyber Security),37,16,17,10,162,64,Hostler,North,Female,Regional,Theory,UG
218192,2404776,KHZ28,A,64,35,72,,91,Bachelor of Technology in Computer Science and Engineering (Cyber Security),4,34,1,25,178,93,Hostler,West,Male,English,Theory,UG
218192,2404776,KHZ51,A,64,32,72,,98,Bachelor of Technology in Computer Science and Engineering (Cyber Security),8,31,22,3,178,93,Hostler,West,Male,English,Theory,UG
218192,2404776,KHZ52,A+,83,,,81,93,Bachelor of Technology in Computer Science and Engineering (Cyber Security),14,3,38,28,178,93,Hostler,West,Male,English,Theory,UG
218192,2404776,KHZ53,B+,60,37,66,,92,Bachelor of Technology in Computer Science and Engineering (Cyber Security),28,9,12,11,178,93,Hostler,West,Male,English,Theory,UG
